QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"And through the mist of centuries the broken boy could only watch as the man's feet drummed against the earth … but as his life flowed out of him in a red tide, Brandon Stark could t _ _ _ e the blood. [5 Letters T _ _ _ _ _ E]",taste,TASTE,Taste
"""We have to close the door now, I guess,"" Jack said. He tried to p _ _ _  his hand from Wolf's grasp, but could not free himself until Wolf almost disdainfully released him. [4 Letters P _ _ _ ]",pull,PULL,Pull
"""Surely not. Why?"" He narrowed his eyes at Grey. ""You don't mean to a _ _ _ _ d the funeral, surely?"" [6 Letters A _ _ _ _ _ D]",attend,ATTEND,Attend
"Nicca c _ _ _ _ d his eyes, shoulders slumping, but that brushed the ends of his wings against the floor and he had to straighten his shoulders again. [6 Letters C _ _ _ _ _ D]",closed,CLOSED,Closed
"Through the windows he could see the interior was mostly dark, the only light c _ _ _ _ g from a two-hundred-gallon aquarium glowing a soft blue. He switched to IR, scanned again, and saw nothing. [6 Letters C _ _ _ _ _ G]",coming,COMING,Coming
"More men will die, Richter said, his shoulders s _ _ _ _ _ d, his face empty and dead, [7 Letters S _ _ _ _ _ D]",slumped,SLUMPED,Slumped
"He shuddered abruptly, an abrupt twisting of his back. Heat-flesh poked out on his skin, then receded. He went to the control switch and pushed the ON button. The machine b _ _ _ n to hum. [5 Letters B _ _ _ _ _ N]",began,BEGAN,Began
"He watched the way the small flame f _ _ _ _ _ _ _ d in her eyes. She was nervous, he realized, and wished that didn't make her even more seductive. ""Sure."" [9 Letters F _ _ _ _ _ D]",flickered,FLICKERED,Flickered
"She let out a long breath, relieved. ""You f _ _ _  that way, too. I didn't want to say, didn't want you to feel like you weren't enough company or something. 'Cause you are."" [4 Letters F _ _ _ ]",felt,FELT,Felt
"She would handle it. She was good at h _ _ _ _ _ _ g herself. Or, as Brian had always said, she was good at elbowing everyone out of her way so she could handle everything herself. [8 Letters H _ _ _ _ _ G]",handling,HANDLING,Handling
"The reporters thronged around me, hollering questions. I kept my cool and just s _ _ _ k my head. With the heroic assistance of my doorman, Ralph, I managed to wrangle my nutty gang inside the building. [5 Letters S _ _ _ _ _ K]",shook,SHOOK,Shook
"He watched her without s _ _ _ _ g a word, deciding that he liked, very much, the look of her in his shirt. [6 Letters S _ _ _ _ _ G]",saying,SAYING,Saying
"flames r _ _ _  at once in the fireplace, crackling merrily as though [4 Letters R _ _ _ ]",rose,ROSE,Rose
"""If you don't have your health""-he l _ _ _ _ _ d his head, bit her lip-""you don't have anything."" [7 Letters L _ _ _ _ _ D]",lowered,LOWERED,Lowered
He stopped her close to the huddle of women that had f _ _ _ _ d in front of the fireplace. [6 Letters F _ _ _ _ _ D],formed,FORMED,Formed
"Beldre glanced down. ""You're the ones who k _ _ _ _ d the lord ruler. You overthrew the entire empire. My brother doesn't believe it-he thinks that you rode the Survivor's popularity, claiming to be his friends after he'd sacrificed himself."" [6 Letters K _ _ _ _ _ D]",killed,KILLED,Killed
"Every other college girl in America was home right now, h _ _ _ _ g a good time with her friends and her family. Yet her mother had begged, her grandfather had begged, even her father had asked her to stay. [6 Letters H _ _ _ _ _ G]",having,HAVING,Having
"Dusty, look at me. Look directly at me. Dusty t _ _ _ _ d his gaze from his wife to Ahriman. Martie was staring down at her hands once more. Martie! the doctor commanded. Obediently, she met his eyes again. [6 Letters T _ _ _ _ _ D]",turned,TURNED,Turned
"His only hope was to pass under the chain and the burning ships and the wildfire that f _ _ _ _ _ d on the surface of the water, to swim hard for the safety of the bay beyond. [7 Letters F _ _ _ _ _ D]",floated,FLOATED,Floated
"Donna drew a quick breath, blinked, and looked at my face. ""You really do carry a gun."" Her voice h _ _ _  a sort of wonderment. [4 Letters H _ _ _ ]",held,HELD,Held
